lz,survey,sampled_date,province_name,province_code,district_name,district_code,municipality_name,municipality_code,main_place_name,main_place_code,village_name,village_code,pop,num_sas,approx_coord,village_and_coord
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Elias Motsoaledi,984,Thabakhubedu,984073,Thabakhubedu SP,984073001,5925,9,"-25.3431, 29.2537","hea - Thabakhubedu SP: -25.3431, 29.2537"
59205: Highveld open access mixed income (ZAHMI),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Matlala Ramoshebo,983063,Matlala Ramoshebo SP,983063001,3810,6,"-25.0441, 29.1021","hea - Matlala Ramoshebo SP: -25.0441, 29.1021"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Doornlaagte,983048,Doornlaagte SP,983048001,1584,3,"-24.9774, 28.9713","hea - Doornlaagte SP: -24.9774, 28.9713"
59303: Highveld open access intensive cropping (ZAHIC),both,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Malebitsa,983035,Malebitsa SP,983035001,4047,7,"-24.8980, 28.9280","both - Malebitsa SP: -24.8980, 28.9280"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Matlerekeng,983061,Matlerekeng SP,983061001,4845,10,"-24.9871, 29.0572","hea - Matlerekeng SP: -24.9871, 29.0572"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Rathoke,983043,Rathoke SP,983043001,5349,10,"-24.9344, 29.0497","hea - Rathoke SP: -24.9344, 29.0497"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Spitspunt,983051,Spitspunt SP,983051001,2787,4,"-24.9520, 28.9186","hea - Spitspunt SP: -24.9520, 28.9186"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Tshikanosi,983062,Tshikanosi SP,983062001,1782,3,"-24.9886, 28.9397","hea - Tshikanosi SP: -24.9886, 28.9397"
59303: Highveld open access intensive cropping (ZAHIC),hea,2016-10-04,Limpopo,9,Greater Sekhukhune,947,Ephraim Mogale,983,Uitvlugt,983042,Uitvlugt SP,983042001,5031,9,"-24.9348, 28.9982","hea - Uitvlugt SP: -24.9348, 28.9982"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Buyisonto,877083,Buyisonto SP,877083001,10467,17,"-24.7847, 31.1305","hea - Buyisonto SP: -24.7847, 31.1305"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Hlanganani,877120,Hlanganani SP,877120001,21540,34,"-24.9643, 31.1419","hea - Hlanganani SP: -24.9643, 31.1419"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Kgapamadi,877020,Kgapamadi SP,877020001,5049,8,"-24.6136, 31.0322","continuum - Kgapamadi SP: -24.6136, 31.0322"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Matsavana,877099,Matsavana SP,877099001,5157,10,"-24.8256, 31.2352","hea - Matsavana SP: -24.8256, 31.2352"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,New Line,877033,New Line SP,877033001,1836,3,"-24.6369, 31.0081","hea - New Line SP: -24.6369, 31.0081"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Thabakgolo,877095,Thabakgolo SP,877095001,5913,10,"-24.7915, 31.0295","continuum - Thabakgolo SP: -24.7915, 31.0295"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Utlha A,877064,Utlha A SP,877064001,876,2,"-24.7035, 31.4418","hea - Utlha A SP: -24.7035, 31.4418"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Bushbuckridge,877,Zoeknog A,877088,Zoeknog A SP,877088001,4065,7,"-24.7477, 30.9842","hea - Zoeknog A SP: -24.7477, 30.9842"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Jerusalem,874018,Jerusalem SP,874018001,8853,15,"-25.1934, 31.1034","continuum - Jerusalem SP: -25.1934, 31.1034"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Khumbula,874027,Khumbula SP,874027001,6729,12,"-25.2888, 31.1709","continuum - Khumbula SP: -25.2888, 31.1709"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Lundi,874019,Lundi SP,874019001,4509,8,"-25.2144, 31.0940","continuum - Lundi SP: -25.2144, 31.0940"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Mahukule A,874002,Mahukule A SP,874002001,234,2,"-24.9915, 31.1366","continuum - Mahukule A SP: -24.9915, 31.1366"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Malekutu,874026,Malekutu SP,874026001,7539,12,"-25.2761, 31.1954","hea - Malekutu SP: -25.2761, 31.1954"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Msogwaba,874054,Msogwaba SP,874054001,17577,25,"-25.4264, 31.1633","continuum - Msogwaba SP: -25.4264, 31.1633"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Mbombela,874,Phola,874014,Phola SP,874014001,16485,29,"-25.1615, 31.1324","hea - Phola SP: -25.1615, 31.1324"
59101: Lowveld open access cattle and other income (ZALOC),continuum,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,KwaZibukwane,876028,KwaZibukwane SP,876028001,5298,7,"-25.6892, 31.8039","continuum - KwaZibukwane SP: -25.6892, 31.8039"
59101: Lowveld open access cattle and other income (ZALOC),hea,2016-10-04,Mpumalanga,8,Ehlanzeni,832,Nkomazi,876,Madaneni,876042,Madaneni SP,876042001,4989,9,"-25.8079, 31.7903","hea - Madaneni SP: -25.8079, 31.7903"
