pr_name |      dc_name       |     mn_name      |       mp_name       |       sp_name       |  sp_code  | sa_code | pop_cen | pop_curr | mn_pop_cur | dc_pop_curr | pr_pop_curr
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Moteti              | Moteti SP           | 984056002 | 9840375 |     756 |      826 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Moteti              | Moteti SP           | 984056002 | 9840390 |     792 |      866 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Moteti              | Moteti SP           | 984056002 | 9840391 |     795 |      869 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Moteti              | Moteti SP           | 984056002 | 9840408 |     849 |      928 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840063 |     420 |      459 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840104 |     486 |      531 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840119 |     501 |      548 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840164 |     546 |      597 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840186 |     567 |      620 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840217 |     585 |      639 |     272621 |     1176939 |     5826386
Limpopo | Greater Sekhukhune | Elias Motsoaledi | Mpheleng            | Mpheleng SP         | 984051001 | 9840271 |     630 |      689 |     272621 |     1176939 |     5826386
