 ea_code  |  sp_code  |       sp_name        | mp_code |        mp_name        | mn_code |     mn_name     | dc_code | dc_mdb_code |      dc_name       |  pr_name   |  survey   
 96210702 | 962035001 | Mavele SP            |  962035 | Mavele                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210703 | 962035001 | Mavele SP            |  962035 | Mavele                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210534 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210535 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210536 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210537 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210538 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210539 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210540 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210541 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210542 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210543 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210544 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96210686 | 962026001 | Motupa SP            |  962026 | Motupa                |     962 | Greater Tzaneen |     933 | DC33        | Mopani             | Limpopo    | continuum
 96810471 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810472 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810474 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810475 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810476 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810477 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810487 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810488 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810489 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810490 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810547 | 968101001 | Bungeni SP           |  968101 | Bungeni               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810194 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810203 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810504 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810505 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810506 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810507 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810508 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810509 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810510 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810511 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810512 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810546 | 968102001 | Chavani SP           |  968102 | Chavani               |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810609 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810610 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810611 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810612 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810619 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810621 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810622 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810623 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810624 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810626 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810628 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96810629 | 968093001 | Tshitale             |  968093 | Mpheni                |     968 | Makhado         |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510196 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510197 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510198 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510199 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510200 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510201 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96510229 | 965044001 | Folovhodwe SP        |  965044 | Folovhodwe            |     965 | Mutale          |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610026 | 966214001 | Hasane SP            |  966214 | Hasane                |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610027 | 966214001 | Hasane SP            |  966214 | Hasane                |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610028 | 966214001 | Hasane SP            |  966214 | Hasane                |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610029 | 966214001 | Hasane SP            |  966214 | Hasane                |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610030 | 966214001 | Hasane SP            |  966214 | Hasane                |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610636 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
 96610637 | 966083001 | Makuleke SP          |  966083 | Makuleke              |     966 | Thulamela       |     934 | DC34        | Vhembe             | Limpopo    | continuum
